year,stock,omega,alpha,beta,gamma,nu
2019,AAPL,0.2,0.0,0.8499999999999999,0.15000000000000002,5.0
2019,ABT,0.2,0.0,0.7999999999999999,0.2,4.0
2019,ACN,0.2,0.0,0.7999999999999999,0.15000000000000002,4.0
2019,ADBE,0.4,0.02,0.7,0.35000000000000003,4.0
2019,ADI,0.2,0.0,0.8499999999999999,0.15000000000000002,4.0
2019,ADP,0.2,0.02,0.7,0.25,5.0
2019,AMAT,0.8,0.0,0.6499999999999999,0.25,4.0
2019,AMD,0.8,0.08,0.7999999999999999,0.1,4.0
2019,AMGN,0.2,0.02,0.8499999999999999,0.15000000000000002,5.0
2019,AMT,0.2,0.06,0.75,0.15000000000000002,5.0
2019,AMZN,0.4,0.02,0.7999999999999999,0.15000000000000002,4.0
2019,APH,0.2,0.02,0.75,0.25,4.0
2019,AVGO,0.2,0.0,0.8999999999999999,0.15000000000000002,4.0
2019,AXP,0.2,0.0,0.7999999999999999,0.2,4.0
2019,BA,0.2,0.04,0.7999999999999999,0.1,6.0
2019,BAC,0.2,0.04,0.7999999999999999,0.2,6.0
2019,BH,0.0,0.06,0.9499999999999998,0.0,4.0
2019,BLK,0.2,0.0,0.7999999999999999,0.25,7.0
2019,BSX,0.8,0.0,0.6,0.25,5.0
2019,BX,0.2,0.02,0.8499999999999999,0.15000000000000002,8.0
2019,C,0.2,0.04,0.7999999999999999,0.2,5.0
2019,CAT,0.2,0.06,0.7999999999999999,0.15000000000000002,4.0
2019,CB,0.2,0.0,0.6,0.35000000000000003,5.0
2019,CME,0.2,0.04,0.7999999999999999,0.1,5.0
2019,CMT,0.2,0.08,0.8999999999999999,0.05,3.0
2019,COP,0.0,0.06,0.8999999999999999,0.1,9.0
2019,COST,0.2,0.02,0.7,0.25,5.0
2019,CRM,0.4,0.0,0.7999999999999999,0.25,4.0
2019,CSCO,0.2,0.02,0.7999999999999999,0.15000000000000002,4.0
2019,CVX,0.0,0.06,0.8999999999999999,0.1,9.0
2019,DE,0.2,0.02,0.7999999999999999,0.15000000000000002,4.0
2019,DHR,0.2,0.0,0.7,0.35000000000000003,5.0
2019,DIS,0.2,0.0,0.75,0.25,5.0
2019,ETN,0.2,0.0,0.7999999999999999,0.25,6.0
2019,GE,0.2,0.08,0.6499999999999999,0.30000000000000004,5.0
2019,GILD,0.8,0.06,0.6,0.2,6.0
2019,GS,0.2,0.08,0.75,0.15000000000000002,9.0
2019,HD,0.2,0.02,0.7,0.30000000000000004,7.0
2019,HON,0.2,0.0,0.7,0.35000000000000003,5.0
2019,IBM,0.2,0.02,0.75,0.15000000000000002,5.0
2019,ICE,0.2,0.04,0.7999999999999999,0.15000000000000002,5.0
2019,INTU,0.2,0.02,0.7999999999999999,0.15000000000000002,4.0
2019,ISRG,0.8,0.08,0.6499999999999999,0.1,3.0
2019,JNJ,0.2,0.02,0.6,0.35000000000000003,7.0
2019,JPM,0.2,0.04,0.75,0.25,5.0
2019,KO,0.4,0.08,0.4,0.2,4.0
2019,LLY,0.2,0.06,0.7999999999999999,0.1,4.0
2019,LMT,0.2,0.0,0.75,0.15000000000000002,6.0
2019,LOW,0.6000000000000001,0.06,0.5,0.30000000000000004,5.0
2019,MA,0.2,0.0,0.7999999999999999,0.2,5.0
2019,MCD,0.2,0.02,0.6,0.35000000000000003,6.0
2019,MDT,0.4,0.06,0.55,0.25,5.0
2019,MMC,0.2,0.0,0.6499999999999999,0.35000000000000003,6.0
2019,MO,0.4,0.06,0.5,0.2,5.0
2019,MRK,0.2,0.0,0.75,0.30000000000000004,5.0
2019,MS,0.2,0.04,0.8499999999999999,0.1,6.0
2019,MSFT,0.4,0.04,0.7,0.15000000000000002,4.0
2019,NEE,0.2,0.0,0.7999999999999999,0.05,6.0
2019,NFLX,0.8,0.02,0.8499999999999999,0.15000000000000002,3.0
2019,NOW,0.6000000000000001,0.0,0.8499999999999999,0.15000000000000002,4.0
2019,NVDA,0.2,0.02,0.8999999999999999,0.15000000000000002,3.0
2019,ORCL,0.6000000000000001,0.06,0.5,0.25,4.0
2019,PANW,0.8,0.02,0.7999999999999999,0.15000000000000002,4.0
2019,PEP,0.2,0.08,0.55,0.25,8.0
2019,PFE,0.2,0.06,0.7,0.25,5.0
2019,PG,0.2,0.08,0.6,0.2,5.0
2019,PGR,0.2,0.08,0.6499999999999999,0.15000000000000002,8.0
2019,PLD,0.2,0.0,0.7999999999999999,0.15000000000000002,6.0
2019,PM,0.2,0.0,0.7,0.25,5.0
2019,QCOM,0.2,0.06,0.8499999999999999,0.05,3.0
2019,SCHW,0.4,0.0,0.7999999999999999,0.2,5.0
2019,SO,0.2,0.04,0.7,0.05,7.0
2019,SYK,0.2,0.04,0.75,0.1,6.0
2019,T,0.2,0.06,0.7,0.05,6.0
2019,TJX,0.4,0.02,0.6,0.25,6.0
2019,TMO,0.2,0.06,0.75,0.2,5.0
2019,TSLA,0.2,0.04,0.9499999999999998,0.0,3.0
2019,TXN,0.2,0.0,0.7999999999999999,0.25,4.0
2019,UNH,0.2,0.02,0.7999999999999999,0.2,5.0
2019,UNP,0.2,0.04,0.7999999999999999,0.15000000000000002,5.0
2019,V,0.4,0.02,0.6499999999999999,0.30000000000000004,5.0
2019,VZ,0.2,0.08,0.6499999999999999,0.15000000000000002,8.0
2019,WFC,0.2,0.06,0.7,0.25,6.0
2019,WMT,0.4,0.08,0.45,0.2,4.0
2019,XOM,0.2,0.08,0.7,0.15000000000000002,5.0
2020,AAPL,0.2,0.02,0.7999999999999999,0.2,4.0
2020,ABT,0.2,0.0,0.7999999999999999,0.2,4.0
2020,ACN,0.2,0.0,0.75,0.25,4.0
2020,ADBE,0.2,0.0,0.7999999999999999,0.30000000000000004,4.0
